question,answer,category,subcategory,language,source_url
What is Citizenship?,The deed that protects the fundamental rights and other rights of the citizens by establishing law relations with the state is called citizenship.,citizenship,general,en,https://meroadalat.com/citizenship-law-in-nepal/
How many types of citizenship are provided in Nepal according to the Constitution of Nepal and the Nepal Citizenship Act of 2063?,"According to the Constitution of Nepal and the Nepal Citizenship Act of 2063, four types of citizenship are provided in Nepal. They are:\n\n1. Citizenship by Descent\n2. Citizenship by Birth\n3. Citizenship by Naturalization\n4. Non-Resident Nepali (NRN) Citizenship",citizenship,general,en,https://meroadalat.com/citizenship-law-in-nepal/
Who gets the Nepalese Citizenship according to the Constitution of Nepal?,"Nepalese citizenship is granted to those who had citizenship before the Constitution came into effect, those born to a Nepali parent, minors found in Nepal with unknown parents, and individuals who meet conditions for naturalized or honorary citizenship. Foreign women married to Nepali citizens and children of Nepali mothers and foreign fathers may also acquire citizenship under specific legal provisions.",citizenship,eligibility,en,https://meroadalat.com/citizenship-law-in-nepal/
Who can get Nepali Citizenship by descendants?,"A person can get Nepali citizenship by descent if either of their parents is a Nepali citizen at the time of their birth. Special provisions apply if the mother is Nepali and married to a foreign citizen. Also, a minor without identified parents within Nepal is considered a citizen by descent until the parents are known.",citizenship,eligibility,en,https://meroadalat.com/citizenship-law-in-nepal/
"Under which conditions is Nepali citizenship not applicable according to Section 10 of the Nepal Citizenship Act, 2063?","Nepali citizenship is not applicable if a person voluntarily acquires foreign citizenship, formally renounces Nepali citizenship, is removed under legal grounds, or fails to choose between dual citizenship within two years after turning sixteen.",citizenship,general,en,https://meroadalat.com/citizenship-law-in-nepal/
What is the minimum age required for citizenship in Nepal?,The minimum age required to apply for Nepali citizenship by descent is 16 years.,citizenship,eligibility,en,https://fwld.org/wp-content/uploads/2016/12/Legal-Analysis-of-Citizenship-Law-of-Nepal-Citizenship-Report-English.pdf
Can a foreign-born child get citizenship in Nepal?,"Yes, a foreign-born child can get naturalized citizenship in Nepal if born to a Nepali woman, as proposed in the amendment to the Nepal Citizenship Act 2006.",citizenship,eligibility,en,https://myrepublica.nagariknetwork.com/news/children-born-abroad-to-nepali-mothers-can-acquire-nepali-citizenship-66-35.html
What are the eligibility criteria for obtaining Nepali citizenship by descent?,"To obtain Nepali citizenship by descent, a person must be at least 16 years old, reside in Nepal and the district of application, and have at least one parent who holds Nepali citizenship by descent.",citizenship,eligibility,en,https://notarynepal.com/blog/citizenship-in-nepal
What is the step-by-step process to obtain citizenship in Nepal?,"First, determine the type of citizenship you qualify for. Then, submit an application with required documents to the District Administration Office. Officials will verify your documents and witness signatures. If approved, a citizenship certificate is issued.",citizenship,process,en,https://notarynepal.com/blog/citizenship-in-nepal
What documents are required to apply for citizenship in Nepal?,"To apply for citizenship in Nepal, you need a valid birth certificate, a migration certificate (if applicable), and proof of residence signed by three witnesses.",citizenship,document,en,https://notarynepal.com/blog/citizenship-in-nepal
What are the costs and processing time for citizenship in Nepal?,Citizenship by descent or birth usually has no fee. Naturalized citizenship costs Rs. 100 for descendants of Nepali citizens and Rs. 500 for other foreigners. Processing is typically completed within 1–2 hours on the same day if all documents are complete.,citizenship,process,en,https://notarynepal.com/blog/citizenship-in-nepal
How can Nepalese citizenship be terminated?,"Nepalese citizenship can be terminated if a person acquires foreign citizenship, fails to choose between dual citizenship by age 21, or formally renounces citizenship through a proper application.",citizenship,document,en,https://notarynepal.com/blog/citizenship-in-nepal
What is required to renounce Nepalese citizenship?,"To renounce Nepali citizenship, one must submit an application with the original and copy of their citizenship certificate, passport, two passport-size photos, and a reason for renouncing. The applicant must be present before the Head of Mission.",citizenship,document,en,https://notarynepal.com/blog/citizenship-in-nepal
Do I need my parent’s original citizenship card?,"Yes, to apply for Nepali citizenship by descent, you must provide your parent’s original citizenship certificate, usually that of the father or mother who is a Nepali citizen.",citizenship,document,en,https://notarynepal.com/blog/citizenship-in-nepal
Where do I apply for a citizenship certificate?,You must apply for a citizenship certificate at the District Administration Office (DAO) of the district where you reside.,citizenship,process,en,https://moha.gov.np/en/post/citizenship-act-2063
Can I apply online or only in-person?,"Currently, the application for a citizenship certificate in Nepal must be submitted in person. There is no official provision for online application as of now.",citizenship,process,en,https://moha.gov.np/en/post/citizenship-act-2064
How long does the process take?,"If all required documents are in order, the citizenship application process is usually completed within 1 to 2 hours on the same day.",citizenship,process,en,https://moha.gov.np/en/post/citizenship-act-2065
Is there any fee for getting citizenship in Nepal?,"No fee is charged for citizenship by descent or birth. However, naturalized citizenship requires a fee of Rs. 100 for descendants of Nepali citizens and Rs. 500 for other foreigners",citizenship,cost,en,https://www.refworld.org/legal/legislation/natlegbod/1992/en/17493
Are there extra charges for urgent processing of citizenship in Nepal?,There are no specified extra charges for urgent processing mentioned in the Nepal Citizenship Act.,citizenship,cost,en,https://www.refworld.org/legal/legislation/natlegbod/1992/en/17494
How can I correct a mistake on my Nepali citizenship certificate?,"You can apply to the designated authority with necessary evidence to correct minor errors like name, age, or spelling mistakes. The authority may issue a corrected citizenship certificate after verifying the evidence.",citizenship,correction,en,https://meroadalat.com/citizenship-law-in-nepal/
